id,hotel_id,customer_id,sales_price,purchase_price,arrival_date,purchase_day,nights
1,1,453,5403,4808.67,2021-05-01,2021-04-10,1
2,1,111,5348,4920.16,2021-05-03,2021-04-18,4
3,1,199,5263,4841.96,2021-04-25,2021-04-09,1
4,1,234,6011,5530.12,2021-05-05,2021-04-22,1
5,1,417,4070,3540.9,2021-04-28,2021-04-15,2
6,1,162,7432,6391.52,2021-04-25,2021-04-26,2
7,1,230,3625,3443.75,2021-05-08,2021-04-22,3
8,1,410,3955,3559.5,2021-04-25,2021-04-28,4
9,1,499,6469,5757.41,2021-04-23,2021-04-21,2
10,1,191,2613,2247.18,2021-04-30,2021-04-29,4
11,1,480,7734,7347.3,2021-05-02,2021-04-28,1
12,1,143,4661,4194.9,2021-05-09,2021-04-22,1
13,1,45,4575,4071.75,2021-05-09,2021-04-17,1
14,1,74,6510,5663.7,2021-05-12,2021-04-12,2
15,1,255,3966,3767.7,2021-04-26,2021-04-14,4
16,1,309,4744,4174.72,2021-04-21,2021-04-27,3
17,1,376,1774,1703.04,2021-05-02,2021-04-28,4
18,1,372,2376,2233.44,2021-05-12,2021-04-22,2
19,1,486,3979,3700.47,2021-05-17,2021-04-26,3
20,1,44,2318,2248.46,2021-04-29,2021-04-24,2
21,1,195,7040,6406.4,2021-04-27,2021-04-24,1
22,1,306,5276,5117.72,2021-05-15,2021-04-25,4
23,1,79,3211,2986.23,2021-05-16,2021-04-24,2
24,1,474,3325,3225.25,2021-04-22,2021-04-28,4
25,1,65,6027,5846.19,2021-04-24,2021-04-23,2
26,1,267,4633,4169.7,2021-05-01,2021-04-23,1
27,1,18,4100,3649,2021-05-18,2021-04-25,3
28,1,434,5328,4848.48,2021-05-03,2021-04-19,4
29,1,295,3781,3667.57,2021-04-24,2021-04-10,4
30,1,209,3637,3527.89,2021-04-27,2021-04-10,2
31,1,122,3565,3315.45,2021-04-30,2021-04-25,3
32,1,76,6277,5398.22,2021-05-03,2021-04-27,4
33,1,208,7030,6467.6,2021-04-23,2021-04-22,3
34,1,86,7210,6849.5,2021-04-26,2021-04-23,1
35,1,88,5997,5157.42,2021-04-25,2021-04-19,4
36,1,423,7731,6880.59,2021-05-17,2021-04-19,3
37,1,279,4361,3968.51,2021-04-24,2021-04-19,1
38,1,180,2737,2490.67,2021-05-13,2021-04-23,2
39,1,376,1732,1541.48,2021-05-09,2021-04-16,4
40,1,237,4159,3535.15,2021-05-05,2021-04-15,1
41,1,174,1521,1384.11,2021-05-05,2021-04-23,1
42,1,158,7219,7002.43,2021-05-09,2021-04-16,1
43,1,368,7298,7079.06,2021-04-23,2021-04-10,2
44,1,168,7207,6125.95,2021-05-14,2021-04-26,4
45,1,255,3807,3616.65,2021-04-28,2021-04-27,2
46,1,55,4937,4295.19,2021-04-27,2021-04-23,3
47,1,204,7912,7595.52,2021-05-06,2021-04-11,3
48,1,102,4605,4236.6,2021-05-15,2021-04-17,2
49,1,167,1023,982.08,2021-05-09,2021-04-21,2
50,1,84,6209,5463.92,2021-05-04,2021-04-27,1
51,1,75,7144,6715.36,2021-04-28,2021-04-19,1
52,1,81,1531,1454.45,2021-05-01,2021-04-25,2
53,1,322,2966,2639.74,2021-05-04,2021-04-09,1
54,1,167,6426,5976.18,2021-04-28,2021-04-28,1
55,1,31,2636,2504.2,2021-05-17,2021-04-29,4
56,1,53,5474,4926.6,2021-04-30,2021-04-12,4
57,1,33,1257,1194.15,2021-05-03,2021-04-21,1
58,1,55,4849,4461.08,2021-05-13,2021-04-20,4
59,2,65,4590,4039.2,2021-04-22,2021-04-22,4
60,2,452,3922,3529.8,2021-04-29,2021-04-11,2
61,2,432,1422,1308.24,2021-04-26,2021-04-23,3
62,2,70,1039,987.05,2021-05-09,2021-04-14,1
63,2,423,4682,4401.08,2021-04-29,2021-04-22,4
64,2,194,5925,5214,2021-05-17,2021-04-21,1
65,2,65,2087,1857.43,2021-05-17,2021-04-24,2
66,2,468,7071,6717.45,2021-04-30,2021-04-27,3
67,2,61,2113,1880.57,2021-05-12,2021-04-17,1
68,2,328,2333,2053.04,2021-04-30,2021-04-20,1
69,2,400,3566,3245.06,2021-05-02,2021-04-23,4
70,2,228,2589,2226.54,2021-04-29,2021-04-20,4
71,2,420,1546,1406.86,2021-04-20,2021-04-20,4
72,2,453,4769,4435.17,2021-05-17,2021-04-17,3
73,2,19,7118,6192.66,2021-05-10,2021-04-12,2
74,2,339,2738,2327.3,2021-05-09,2021-04-13,2
75,2,362,4083,3838.02,2021-05-12,2021-04-09,3
76,2,383,7072,6364.8,2021-04-23,2021-04-17,1
77,2,60,2794,2458.72,2021-04-29,2021-04-16,3
78,2,440,2847,2476.89,2021-04-29,2021-04-29,1
79,2,226,1495,1330.55,2021-05-07,2021-04-13,3
80,2,2,1785,1695.75,2021-05-12,2021-04-09,1
81,2,256,6666,6399.36,2021-05-11,2021-04-14,4
82,2,242,2603,2264.61,2021-04-23,2021-04-18,4
83,2,199,1085,1041.6,2021-05-16,2021-04-21,1
84,2,405,7639,7257.05,2021-04-24,2021-04-25,3
